"txNomeParlamentar";"cpf";"ideCadastro";"nuCarteiraParlamentar";"nuLegislatura";"sgUF";"sgPartido";"codLegislatura";"numSubCota";"txtDescricao";"numEspecificacaoSubCota";"txtDescricaoEspecificacao";"txtFornecedor";"txtCNPJCPF";"txtNumero";"indTipoDocumento";"datEmissao";"vlrDocumento";"vlrGlosa";"vlrLiquido";"numMes";"numAno";"numParcela";"txtPassageiro";"txtTrecho";"numLote";"numRessarcimento";"vlrRestituicao";"nuDeputadoId";"ideDocumento";"urlDocumento"
"LIDERANÇA DO DEMOCRATAS";"";"";"";"2019";"NA";"";"56";"4";"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.";"0";"";"LINEAR COMUNICACAO LTDA - EPP";"109.472.430/0019-5";"2737";"4";"2020-04-27T00:00:00";"1527.28";"0";"1527.28";"4";"2020";"0";"";"";"1693866";"";"";"2713";"7050172";"http://camara.leg.br/cota-parlamentar/nota-fiscal-eletronica?ideDocumentoFiscal=7050172"
"LIDERANÇA DO DEMOCRATAS";"";"";"";"2019";"NA";"";"56";"4";"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.";"0";"";"LINEAR COMUNICACAO LTDA - EPP";"109.472.430/0019-5";"2764";"4";"2020-05-27T00:00:00";"1527.28";"0";"1527.28";"5";"2020";"0";"";"";"1698547";"";"";"2713";"7058437";"http://camara.leg.br/cota-parlamentar/nota-fiscal-eletronica?ideDocumentoFiscal=7058437"
"LIDERANÇA DO DEMOCRATAS";"";"";"";"2019";"NA";"";"56";"4";"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.";"0";"";"LINEAR COMUNICACAO LTDA - EPP";"109.472.430/0019-5";"2809";"4";"2020-07-27T00:00:00";"1527.28";"0";"1527.28";"7";"2020";"0";"";"";"1709149";"";"";"2713";"7078508";"http://camara.leg.br/cota-parlamentar/nota-fiscal-eletronica?ideDocumentoFiscal=7078508"
"LIDERANÇA DO DEMOCRATAS";"";"";"";"2019";"NA";"";"56";"4";"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.";"0";"";"LINEAR COMUNICACAO LTDA - EPP";"109.472.430/0019-5";"2908";"4";"2020-11-26T01:00:00";"1527.28";"0";"1527.28";"11";"2020";"0";"";"";"1730495";"";"";"2713";"7123566";"http://camara.leg.br/cota-parlamentar/nota-fiscal-eletronica?ideDocumentoFiscal=7123566"
"LIDERANÇA DO DEMOCRATAS";"";"";"";"2019";"NA";"";"56";"5";"DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.";"0";"";"LINEAR COMUNICACAO LTDA - EPP";"109.472.430/0019-5";"2786";"4";"2020-06-26T00:00:00";"1527.28";"0";"1527.28";"6";"2020";"0";"";"";"1703569";"";"";"2713";"7067718";"http://camara.leg.br/cota-parlamentar/nota-fiscal-eletronica?ideDocumentoFiscal=7067718"
"LIDERANÇA DO DEMOCRATAS";"";"";"";"2019";"NA";"";"56";"5";"DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.";"0";"";"LINEAR COMUNICACAO LTDA - EPP";"109.472.430/0019-5";"2833";"4";"2020-08-28T00:00:00";"1527.28";"0";"1527.28";"8";"2020";"0";"";"";"1714269";"";"";"2713";"7088718";"http://camara.leg.br/cota-parlamentar/nota-fiscal-eletronica?ideDocumentoFiscal=7088718"
"LIDERANÇA DO DEMOCRATAS";"";"";"";"2019";"NA";"";"56";"5";"DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.";"0";"";"LINEAR COMUNICACAO LTDA - EPP";"109.472.430/0019-5";"2856";"4";"2020-09-28T00:00:00";"1527.28";"0";"1527.28";"9";"2020";"0";"";"";"1720322";"";"";"2713";"7101137";"http://camara.leg.br/cota-parlamentar/nota-fiscal-eletronica?ideDocumentoFiscal=7101137"
"LIDERANÇA DO DEMOCRATAS";"";"";"";"2019";"NA";"";"56";"5";"DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.";"0";"";"LINEAR COMUNICACAO LTDA - EPP";"109.472.430/0019-5";"2934";"4";"2020-12-28T00:00:00";"1527.28";"0";"1527.28";"12";"2020";"0";"";"";"1738558";"";"";"2713";"7140186";"http://camara.leg.br/cota-parlamentar/nota-fiscal-eletronica?ideDocumentoFiscal=7140186"
"LIDERANÇA DO DEMOCRATAS";"";"";"";"2019";"NA";"";"56";"12";"ASSINATURA DE PUBLICAÇÕES";"0";"";"DIGITAL RIVER IRELAND, LTD.";"000.000.000/0001-0";"45375674408";"1";"2020-02-19T00:00:00";"613.61";"0";"613.61";"2";"2020";"0";"";"";"1692485";"";"";"2713";"7047615";""
"LIDERANÇA DO DEMOCRATAS";"";"";"";"2019";"NA";"";"56";"12";"ASSINATURA DE PUBLICAÇÕES";"0";"";"LINEAR COMUNICACAO LTDA - EPP";"109.472.430/0019-5";"2714";"4";"2020-03-26T00:00:00";"1527.28";"0";"1527.28";"3";"2020";"0";"";"";"1689241";"";"";"2713";"7042111";"http://camara.leg.br/cota-parlamentar/nota-fiscal-eletronica?ideDocumentoFiscal=7042111"
